,HOST_NEIGHBOURHOOD_LGA,S_DATE,DISTINCT_HOST_COUNT,AVERAGE_ESTIMATED_REVENUE,AVERAGE_REVENUE_P_HOST
0,Georges River,2020-05,177,16773026970,94762864.237288
1,Georges River,2020-06,172,17451297320,101461030.930233
2,Georges River,2020-07,155,13790170746,88968843.522581
3,Georges River,2020-08,151,12127739216,80316153.748344
4,Georges River,2020-09,162,21057034960,129981697.283951
5,Georges River,2020-10,163,16841056140,103319362.822086
6,Georges River,2020-11,161,15931581399,98953921.732919
7,Georges River,2020-12,154,15409650696,100062666.857143
8,Georges River,2021-01,152,14844046740,97658202.236842
9,Georges River,2021-02,151,14475526146,95864411.562914
10,Georges River,2021-03,150,13812787176,92085247.840000
11,Georges River,2021-04,144,12091374042,83967875.291667
12,Hunters Hill,2020-05,32,739579835,23111869.843750
13,Hunters Hill,2020-06,33,742446328,22498373.575758
14,Hunters Hill,2020-07,28,484057560,17287770.000000
15,North Sydney,2020-05,523,347394833966,664234864.179732
16,North Sydney,2020-06,513,389572872300,759401310.526316
17,North Sydney,2020-07,442,270111943296,611112993.882353
18,North Sydney,2020-08,434,261220785560,601891210.967742
19,North Sydney,2020-09,480,480438662904,1000913881.050000
20,North Sydney,2020-10,469,331419487192,706651358.618337
21,North Sydney,2020-11,450,299997174946,666660388.768889
22,North Sydney,2020-12,449,294589726600,656101840.979955
23,North Sydney,2021-01,445,291081905415,654116641.382022
24,North Sydney,2021-02,439,286082034420,651667504.373576
25,North Sydney,2021-03,433,283128761356,653877047.011547
26,North Sydney,2021-04,412,269287357100,653610090.048544
27,Northern Beaches,2020-05,787,3540975331124,4499333330.526048
28,Northern Beaches,2020-06,784,3572462892780,4556712873.443878
29,Northern Beaches,2020-07,716,2792181522960,3899694864.469274
30,Canada Bay,2020-11,154,16707261779,108488712.850649
31,Canada Bay,2020-12,152,16156955452,106295759.552632
32,Canada Bay,2021-01,150,15933395826,106222638.840000
33,Canada Bay,2021-02,150,15886743743,105911624.953333
34,Canada Bay,2021-03,148,15565633600,105173200.000000
35,Canada Bay,2021-04,142,13968780480,98371693.521127
36,Canterbury-Bankstown,2020-05,242,26623636080,110015025.123967
37,Canterbury-Bankstown,2020-06,241,27036000315,112182573.921162
38,Canterbury-Bankstown,2020-07,221,21116033451,95547662.674208
39,Canterbury-Bankstown,2020-08,210,20411209340,97196234.952381
40,Canterbury-Bankstown,2020-09,234,31628285780,135163614.444444
41,Canterbury-Bankstown,2020-10,235,25277858038,107565353.353191
42,Canterbury-Bankstown,2020-11,232,25175682180,108515871.465517
43,Canterbury-Bankstown,2020-12,223,24812444670,111266568.026906
44,Canterbury-Bankstown,2021-01,219,23837022375,108844851.027397
45,Hunters Hill,2020-08,29,522071440,18002463.448276
46,Hunters Hill,2020-09,31,996578390,32147690.000000
47,Hunters Hill,2020-10,30,683636492,22787883.066667
48,Hunters Hill,2020-11,30,620333910,20677797.000000
49,Hunters Hill,2020-12,28,606031200,21643971.428571
50,Hunters Hill,2021-01,28,606031200,21643971.428571
51,Hunters Hill,2021-02,28,606031200,21643971.428571
52,Hunters Hill,2021-03,27,601070400,22261866.666667
53,Hunters Hill,2021-04,27,429856570,15920613.703704
54,Inner West,2020-05,911,1336134147040,1466667559.868277
55,Inner West,2020-06,905,1357048427230,1499501024.563536
56,Inner West,2020-07,802,951811605225,1186797512.749377
57,Inner West,2020-08,799,962806762600,1205014721.652065
58,Inner West,2020-09,868,1586847455583,1828165271.408986
59,Inner West,2020-10,856,1199673342588,1401487549.752336
60,Sydney,2020-08,1874,12093033012399,6453059238.206510
61,Sydney,2020-09,2030,21315613269990,10500302103.443350
62,Sydney,2020-10,2005,15780038023326,7870343153.778554
63,Sydney,2020-11,1985,15562077799030,7839837682.130982
