,ACTIVE_LISTING_RATE,MIN_PRICE,MAX_PRICE,AVG_PRICE,MEDIAN_PRICE,DISTINCT_HOST_COUNT,AVG_REVIEW_SCORES_RATING,ACTIVE_PERCENTAGE_CHANGE,INACTIVE_PERCENTAGE_CHANGE,SUPERHOST_RATE,TOTAL_STAYING,AVERAGE_ESTIMATED_REVENUE
0,99.790400,14,3000,126.866795,80.000,400,90.407688,0.691500,0.380200,13.641900,103575,75070124250
1,99.821000,14,3000,135.409924,82.000,350,90.272295,-13.203400,-13.636400,16.212500,89933,61108304371
2,99.773600,14,3000,113.395991,80.000,356,90.333636,4.064100,5.701800,15.754700,92502,55467714276
3,99.770400,14,3000,108.830163,78.000,377,90.542766,26.027000,28.630700,13.883400,119779,84965832545
4,99.792500,14,3000,108.507796,80.000,375,90.447118,-12.293100,-11.935500,13.105100,104244,65288746908
5,99.792500,14,3000,109.047297,80.000,372,90.399832,-0.780900,0.000000,12.707500,103603,65209903863
6,99.789300,14,3000,108.644616,78.000,381,90.470286,-0.656700,1.098900,12.745800,102825,63498139200
7,99.790700,14,3000,109.605557,78.500,383,90.418192,-0.320200,0.000000,11.480000,102971,64579601273
8,99.786400,14,3000,108.672079,78.000,380,90.426077,-0.895600,-0.362300,11.536400,101803,62008919921
9,99.780900,14,3000,108.341874,78.000,372,90.337368,-1.222200,0.363600,11.705600,99481,58890762380
10,99.771500,14,3000,108.663740,78.000,361,90.353443,-2.534000,0.000000,12.808500,96975,55217371050
11,99.767700,24,2180,143.653085,102.000,108,95.517348,,,25.087100,24718,6100303528
12,99.767600,24,2180,144.456610,100.000,106,95.523148,0.691500,0.380200,25.043600,24711,6129118752
13,99.744400,24,2180,146.365791,100.000,97,95.394488,-13.203400,-13.636400,28.434500,21657,4948126389
14,99.757100,24,2180,146.580037,100.000,99,95.499190,4.064100,5.701800,32.058300,23247,5598598257
15,99.791700,24,2399,167.641441,100.000,104,95.568444,26.027000,28.630700,31.250000,28572,9177354972
16,99.767700,24,2399,167.761350,100.000,97,95.419250,-12.293100,-11.935500,32.578400,25526,7356950564
17,99.765800,24,2399,161.049883,100.000,96,95.450622,-0.780900,0.000000,32.494100,25394,6968850026
18,99.767700,24,2399,162.113504,104.000,100,95.526098,-0.656700,1.098900,32.520300,25028,6970573308
19,99.770800,24,2399,162.363010,106.000,100,95.533003,-0.320200,0.000000,24.527200,25502,7208752348
20,99.766900,24,2399,165.249416,111.000,97,95.541525,-0.895600,-0.362300,25.233100,24605,6960926735
21,99.764300,24,2399,172.531010,111.000,98,95.514630,-1.222200,0.363600,24.985300,24160,7057015200
22,99.758700,20,2001,153.791557,90.000,295,93.858220,-1.222200,0.363600,29.129200,82648,57807647712
23,99.747400,20,2001,153.602210,90.000,291,93.999389,-2.534000,0.000000,26.799500,78296,52242849408
24,100.000000,30,2711,278.879433,167.500,56,95.263158,,,7.801400,11816,1858515008
25,100.000000,30,2711,278.624779,155.000,57,95.257218,0.691500,0.380200,7.787600,11835,1863101205
26,100.000000,30,2711,274.711900,155.000,48,95.380000,-13.203400,-13.636400,10.438400,9721,1279157227
27,100.000000,30,2711,270.202840,155.000,47,95.192737,4.064100,5.701800,10.142000,9858,1313184180
28,100.000000,30,2711,274.246855,185.000,52,95.374690,26.027000,28.630700,7.861600,13693,2388346753
29,100.000000,30,2711,274.910909,155.000,52,95.455526,-12.293100,-11.935500,6.909100,11544,1745464344
30,100.000000,30,2711,263.031250,155.000,51,95.251366,-0.780900,0.000000,6.985300,11401,1631357689
31,100.000000,30,2711,277.644689,155.000,51,95.050420,-0.656700,1.098900,7.875500,11433,1733174202
32,100.000000,30,2711,287.742173,155.000,51,94.951429,-0.320200,0.000000,6.445700,11409,1782587796
33,100.000000,30,2711,287.132463,155.000,50,94.825073,-0.895600,-0.362300,6.529900,11142,1714787226
34,100.000000,30,2711,295.992337,155.000,49,94.939940,-1.222200,0.363600,6.705000,10941,1690472028
35,100.000000,30,2711,280.268839,155.000,51,95.295238,-2.534000,0.000000,7.306900,10110,1391257320
