,ACTIVE_LISTING_RATE,MIN_PRICE,MAX_PRICE,AVG_PRICE,MEDIAN_PRICE,DISTINCT_HOST_COUNT,AVG_REVIEW_SCORES_RATING,ACTIVE_PERCENTAGE_CHANGE,INACTIVE_PERCENTAGE_CHANGE,SUPERHOST_RATE,TOTAL_STAYING,AVERAGE_ESTIMATED_REVENUE
0,100.000000,71,71,71.000000,71.000,1,100.000000,-0.780900,0.000000,100.000000,8,568
1,100.000000,71,71,71.000000,71.000,1,100.000000,-0.656700,1.098900,100.000000,8,568
2,100.000000,71,71,71.000000,71.000,1,100.000000,-0.320200,0.000000,100.000000,8,568
3,100.000000,71,71,71.000000,71.000,1,100.000000,-1.222200,0.363600,100.000000,8,568
4,100.000000,71,71,71.000000,71.000,1,100.000000,-2.534000,0.000000,100.000000,8,568
5,100.000000,47,300,129.314286,69.000,5,86.500000,,,8.571400,240,1086240
6,100.000000,47,300,129.314286,69.000,5,86.500000,0.691500,0.380200,8.571400,240,1086240
7,100.000000,47,300,131.878788,69.000,5,85.800000,-13.203400,-13.636400,9.090900,199,866048
8,100.000000,47,300,129.314286,69.000,5,86.500000,4.064100,5.701800,8.571400,240,1086240
9,100.000000,59,300,134.000000,84.500,4,87.225806,26.027000,28.630700,8.823500,221,1006876
10,100.000000,59,300,136.937500,84.000,4,86.551724,-12.293100,-11.935500,9.375000,180,788760
11,100.000000,59,300,136.937500,84.000,4,86.551724,-0.780900,0.000000,9.375000,180,788760
12,100.000000,59,300,144.758621,85.000,4,85.115385,-0.656700,1.098900,10.344800,90,377820
13,100.000000,59,300,144.758621,85.000,4,85.115385,-0.320200,0.000000,10.344800,90,377820
14,100.000000,59,300,154.615385,87.000,4,89.695652,-0.895600,-0.362300,11.538500,90,361800
15,100.000000,59,300,154.615385,87.000,4,89.695652,-1.222200,0.363600,11.538500,90,361800
16,100.000000,64,351,157.000000,115.500,5,77.636364,,,21.428600,97,213206
17,100.000000,44,351,149.466667,115.000,6,77.636364,0.691500,0.380200,20.000000,101,226442
18,100.000000,74,351,172.500000,133.000,4,72.666667,-13.203400,-13.636400,25.000000,96,198720
19,100.000000,74,351,172.500000,133.000,4,72.666667,4.064100,5.701800,25.000000,96,198720
20,100.000000,74,351,172.500000,133.000,4,72.666667,26.027000,28.630700,25.000000,96,198720
21,100.000000,44,351,162.615385,116.000,5,72.666667,-12.293100,-11.935500,23.076900,100,211400
22,100.000000,44,351,162.615385,116.000,5,72.666667,-0.780900,0.000000,23.076900,100,211400
23,100.000000,44,351,162.615385,116.000,5,72.666667,-0.656700,1.098900,23.076900,100,211400
24,100.000000,44,351,162.615385,116.000,5,72.666667,-0.320200,0.000000,23.076900,100,211400
25,100.000000,44,351,162.615385,116.000,5,72.666667,-0.895600,-0.362300,23.076900,100,211400
26,100.000000,44,351,162.615385,116.000,5,72.666667,-1.222200,0.363600,23.076900,100,211400
27,100.000000,90,300,139.428571,120.000,4,85.500000,,,14.285700,344,1007232
